Municipio,Área (km²),Tráfico,Clima,Temperatura (°C),Altitud (m)
Envigado,10,Moderado,Soleado,24,1500
Itagüí,12,Moderado,Soleado,25,1600
Sabaneta,15,Bajo,Soleado,26,1400
Bello,12,Alto,Lluvia,23,1300
La Estrella,20,Moderado,Nublado,22,1200
Copacabana,15,Bajo,Soleado,27,1100
Girardota,20,Moderado,Nublado,21,1300
Barbosa,25,Alto,Lluvia,20,900
Caldas,30,Bajo,Soleado,28,800
Medellín,0,Moderado,Soleado,25,1500
Apartadó,200,Moderado,Soleado,30,50
Turbo,250,Alto,Lluvia,29,20
Caucasia,180,Bajo,Nublado,31,300
El Bagre,200,Moderado,Soleado,32,400
Yarumal,80,Moderado,Soleado,19,2000
Amalfi,100,Bajo,Soleado,18,1800
Santa Rosa de Osos,50,Moderado,Soleado,20,1600
San Pedro de los Milagros,30,Moderado,Soleado,22,1400
